Country_ID,Year,Es_People_Living_HIV,Es_Death_Due_to_HIV ,Es_Women_Living_HIV,Perc_Pregnant_Women_Known_HIV_Status,Final_MTCT_Rate_Rate,Es_Children_Orphant_AIDS,All_Ages_Incidence,N_Pregnant_Women_HIV_Needing_ART,GDP_Per_Capita,Population,Unemployment_Rate
1,2007,65000,6000,39199,13,38.33,49000,0.68,6500,944.64,8647761,0.9
1,2008,65000,4200,39343,16,31.15,52000,0.56,6700,1098.95,8906469,0.89
1,2009,67000,3100,40762,19,31.25,51000,0.53,6700,1061.72,9172514,0.95
1,2010,68000,2800,41602,54,30.2,51000,0.53,6600,1009.49,9445710,1.04
1,2011,70000,2700,43055,56,28.9,50000,0.48,6400,1099.41,9726380,2.65
1,2012,71000,2700,43904,58,28.2,49000,0.42,6300,1112.57,10014078,2.42
1,2013,71000,2800,44216,59,29.7,48000,0.39,6300,1214.3,10308730,2.11
1,2014,72000,2900,45172,62,25.9,48000,0.34,6100,1251.5,10614844,1.89
1,2015,71000,2700,44835,66,17.7,48000,0.26,6000,1041.65,10932783,1.86
1,2016,71000,2400,45097,70,15.5,48000,0.23,6000,1049.82,11260085,1.84
2,2007,120000,8600,70517,32,34.41,140000,0.52,8700,516.75,14757074,3.3
2,2008,120000,7800,70529,36,34.07,140000,0.47,8600,621.89,15197915,3.5
2,2009,120000,6800,70556,38,31.46,140000,0.41,8500,603.88,15650022,3.72
2,2010,120000,6200,70620,44,29.1,140000,0.37,8300,627.27,16116845,3.72
2,2011,120000,5700,70896,53,26.6,130000,0.34,8000,727.61,16602651,3.83
2,2012,120000,5500,71538,59,25.8,130000,0.3,7700,733.97,17113732,3.85
2,2013,110000,5300,66259,66,25.2,130000,0.27,7400,762.3,17636408,4.06
2,2014,110000,5100,66926,71,21.6,130000,0.23,7100,767.37,18169842,4.25
2,2015,110000,4800,67565,76,26.8,120000,0.22,6800,632.13,18718019,4.47
2,2016,110000,4400,68140,80,24.9,120000,0.19,6500,665.79,19275498,4.59
3,2007,110000,7300,61697,28,36.17,130000,0.66,4500,170.71,7944609,2.4
3,2008,94000,6500,52875,32,33.33,130000,0.63,4300,194.71,8278109,1.63
3,2009,95000,5900,53587,35,31.11,130000,0.48,4200,204.54,8709366,1.62
3,2010,94000,5400,53186,44,24.6,130000,0.5,4100,222.66,9126605,1.61
3,2011,92000,4700,52239,53,22.5,130000,0.42,4000,236.45,9455733,1.6
3,2012,91000,4200,52001,59,20.7,130000,0.38,3900,238.21,9795479,1.59
3,2013,90000,4000,51975,66,17.6,120000,0.35,3700,241.55,10149577,1.58
3,2014,89000,3600,51936,71,13.6,120000,0.31,3600,257.82,10494913,1.57
3,2015,85000,3200,50103,76,11,120000,0.29,3500,289.36,10727148,1.44
3,2016,84000,2600,49893,80,9.6,110000,0.24,3400,242.54,10903327,1.36
4,2007,110000,7900,63892,17,37.23,91000,0.87,9400,806.71,10722731,0.83
4,2008,110000,7300,63895,20,35.1,95000,0.81,9500,936.49,11098664,0.9
4,2009,110000,6800,63953,28,34.04,99000,0.74,9500,808.16,11496128,0.9
4,2010,110000,6500,64105,28,31.9,100000,0.71,9400,896.88,11894727,0.87
4,2011,110000,6300,64318,34,30.6,100000,0.67,9400,988.19,12317730,0.9
